Ticks,Days,Hours,Milliseconds,Minutes,Seconds,TotalDays,TotalHours,TotalMilliseconds,TotalMinutes,TotalSeconds
10110405,0,0,11,0,1,1.170185763888889E-05,0.00028084458333333333,1011.0405,0.016850675,1.0110405
245275124,0,0,527,0,24,0.00028388324537037036,0.006813197888888889,24527.5124,0.40879187333333333,24.5275124
21984331,0,0,198,0,2,2.5444827546296296E-05,0.0006106758611111111,2198.4331,0.03664055166666667,2.1984331
629461908,0,0,946,1,2,0.000728543875,0.017485053,62946.1908,1.04910318,62.9461908
18858988,0,0,885,0,1,2.1827532407407406E-05,0.0005238607777777777,1885.8988,0.03143164666666667,1.8858988
540846722,0,0,84,0,54,0.0006259800023148148,0.015023520055555555,54084.6722,0.9014112033333334,54.0846722
18288096,0,0,828,0,1,2.1166777777777778E-05,0.0005080026666666667,1828.8096,0.03048016,1.8288096
1455523248,0,0,552,2,25,0.0016846333888888888,0.04043120133333333,145552.3248,2.42587208,145.5523248
23823428,0,0,382,0,2,2.7573412037037036E-05,0.0006617618888888889,2382.3428,0.03970571333333334,2.3823428
613941689,0,0,394,1,1,0.0007105806585648148,0.017053935805555556,61394.1689,1.0232361483333334,61.3941689
48410628,0,0,841,0,4,5.6030819444444446E-05,0.0013447396666666667,4841.0628,0.08068438,4.8410628
3080447374,0,0,44,5,8,0.0035653326087962964,0.0855679826111111,308044.7374,5.1340789566666665,308.0447374
15744480,0,0,574,0,1,1.8222777777777777E-05,0.00043734666666666666,1574.448,0.0262408,1.574448
1219545700,0,0,954,2,1,0.0014115112268518518,0.03387626944444445,121954.57,2.032576166666667,121.95457
6131783,0,0,613,0,0,7.096971064814814E-06,0.00017032730555555556,613.1783,0.010219638333333333,0.6131783
129268772,0,0,926,0,12,0.00014961663425925925,0.0035907992222222224,12926.8772,0.21544795333333333,12.9268772
29996148,0,0,999,0,2,3.471776388888889E-05,0.0008332263333333333,2999.6148,0.04999358,2.9996148
646166362,0,0,616,1,4,0.0007478777337962963,0.01794906561111111,64616.6362,1.0769439366666667,64.6166362
21287039,0,0,128,0,2,2.463777662037037E-05,0.0005913066388888888,2128.7039,0.035478398333333334,2.1287039
564314932,0,0,431,0,56,0.0006531422824074074,0.01567541477777778,56431.4932,0.9405248866666667,56.4314932
23953130,0,0,395,0,2,2.7723530092592592E-05,0.0006653647222222222,2395.313,0.03992188333333333,2.395313
1359719546,0,0,971,2,15,0.001573749474537037,0.03776998738888889,135971.9546,2.2661992433333333,135.9719546
24691894,0,0,469,0,2,2.8578581018518518E-05,0.0006858859444444444,2469.1894,0.04115315666666667,2.4691894
1361435850,0,0,143,2,16,0.0015757359375,0.0378176625,136143.585,2.26905975,136.143585
52308189,0,0,230,0,5,6.054188541666666E-05,0.00145300525,5230.8189,0.087180315,5.2308189
3039171095,0,0,917,5,3,0.0035175591377314816,0.08442141930555555,303917.1095,5.065285158333333,303.9171095
17385692,0,0,738,0,1,2.0122328703703702E-05,0.0004829358888888889,1738.5692,0.028976153333333334,1.7385692
1545847727,0,0,584,2,34,0.0017891756099537037,0.04294021463888889,154584.7727,2.5764128783333335,154.5847727
5020418,0,0,502,0,0,5.810668981481482E-06,0.00013945605555555556,502.0418,0.008367363333333334,0.5020418
170136202,0,0,13,0,17,0.00019691690046296295,0.0047260056111111115,17013.6202,0.2835603366666667,17.0136202
24171277,0,0,417,0,2,2.7976015046296296E-05,0.0006714243611111111,2417.1277,0.04028546166666667,2.4171277
689917607,0,0,991,1,8,0.0007985157488425926,0.019164377972222223,68991.7607,1.1498626783333334,68.9917607
22950504,0,0,295,0,2,2.6563083333333333E-05,0.000637514,2295.0504,0.03825084,2.2950504
580199403,0,0,19,0,58,0.0006715270868055556,0.016116650083333333,58019.9403,0.966999005,58.0199403
19554369,0,0,955,0,1,2.2632371527777777E-05,0.0005431769166666666,1955.4369,0.032590615,1.9554369
1603379995,0,0,337,2,40,0.001855763883101852,0.044538333194444446,160337.9995,2.6722999916666668,160.3379995
22747181,0,0,274,0,2,2.6327755787037037E-05,0.0006318661388888889,2274.7181,0.03791196833333333,2.2747181
1379534104,0,0,953,2,17,0.0015966829907407408,0.038320391777777775,137953.4104,2.299223506666667,137.9534104
56764846,0,0,676,0,5,6.570005324074074E-05,0.0015768012777777778,5676.4846,0.09460807666666667,5.6764846
3155323476,0,0,532,5,15,0.0036519947638888888,0.08764787433333333,315532.3476,5.25887246,315.5323476
15465844,0,0,546,0,1,1.7900282407407407E-05,0.0004296067777777778,1546.5844,0.025776406666666668,1.5465844
1526633224,0,0,663,2,32,0.0017669366018518518,0.042406478444444444,152663.3224,2.5443887066666666,152.6633224
5553585,0,0,555,0,0,6.427760416666667E-06,0.00015426625,555.3585,0.009255975,0.5553585
206731082,0,0,673,0,20,0.00023927208564814814,0.005742530055555556,20673.1082,0.34455180333333335,20.6731082
20912287,0,0,91,0,2,2.420403587962963E-05,0.0005808968611111111,2091.2287,0.034853811666666665,2.0912287
571731523,0,0,173,0,57,0.0006617262997685186,0.015881431194444445,57173.1523,0.9528858716666667,57.1731523
22294441,0,0,229,0,2,2.5803751157407407E-05,0.0006192900277777778,2229.4441,0.037157401666666666,2.2294441
439358338,0,0,935,0,43,0.0005085165949074074,0.012204398277777778,43935.8338,0.7322638966666667,43.9358338
22617748,0,0,261,0,2,2.6177949074074074E-05,0.0006282707777777777,2261.7748,0.03769624666666667,2.2617748
1567062062,0,0,706,2,36,0.001813729238425926,0.043529501722222225,156706.2062,2.6117701033333334,156.7062062
24533774,0,0,453,0,2,2.839557175925926E-05,0.0006814937222222223,2453.3774,0.04088962333333333,2.4533774
1435660393,0,0,566,2,23,0.0016616439733796297,0.039879455361111114,143566.0393,2.3927673216666667,143.5660393
54924598,0,0,492,0,5,6.357013657407407E-05,0.0015256832777777777,5492.4598,0.09154099666666667,5.4924598
2914743581,0,0,474,4,51,0.0033735458113425924,0.08096509947222222,291474.3581,4.857905968333333,291.4743581
14398549,0,0,439,0,1,1.666498726851852E-05,0.00039995969444444446,1439.8549,0.023997581666666667,1.4398549
1744240270,0,0,424,2,54,0.002018796608796296,0.048451118611111114,174424.027,2.9070671166666666,174.424027
4916487,0,0,491,0,0,5.690378472222222E-06,0.00013656908333333333,491.6487,0.008194145,0.4916487
226048216,0,0,604,0,22,0.00026162987962962965,0.0062791171111111115,22604.8216,0.37674702666666665,22.6048216
26236668,0,0,623,0,2,3.0366513888888887E-05,0.0007287963333333334,2623.6668,0.04372778,2.6236668
659093558,0,0,909,1,5,0.0007628397662037037,0.01830815438888889,65909.3558,1.0984892633333334,65.9093558
20195727,0,0,19,0,2,2.337468402777778E-05,0.0005609924166666666,2019.5727,0.033659545,2.0195727
528086005,0,0,808,0,52,0.0006112106539351851,0.014669055694444445,52808.6005,0.8801433416666666,52.8086005
24381156,0,0,438,0,2,2.8218930555555555E-05,0.0006772543333333333,2438.1156,0.04063526,2.4381156
1679398362,0,0,939,2,47,0.0019437481041666667,0.0466499545,167939.8362,2.79899727,167.9398362
24879327,0,0,487,0,2,2.879551736111111E-05,0.0006910924166666667,2487.9327,0.041465545,2.4879327
768625171,0,0,862,1,16,0.0008896124664351852,0.021350699194444444,76862.5171,1.2810419516666667,76.8625171
52000224,0,0,200,0,5,6.0185444444444444E-05,0.0014444506666666667,5200.0224,0.08666704,5.2000224
3109899240,0,0,989,5,10,0.0035994204166666668,0.08638609,310989.924,5.1831654,310.989924
16032980,0,0,603,0,1,1.8556689814814814E-05,0.00044536055555555556,1603.298,0.026721633333333335,1.603298
1603595712,0,0,359,2,40,0.0018560135555555557,0.044544325333333336,160359.5712,2.67265952,160.3595712
4881391,0,0,488,0,0,5.649758101851852E-06,0.00013559419444444444,488.1391,0.008135651666666667,0.4881391
209348118,0,0,934,0,20,0.0002423010625,0.0058152255,20934.8118,0.34891353,20.9348118
28241594,0,0,824,0,2,3.268703009259259E-05,0.0007844887222222222,2824.1594,0.047069323333333336,2.8241594
706678577,0,0,667,1,10,0.0008179150196759259,0.01962996047222222,70667.8577,1.1777976283333333,70.6678577
18872254,0,0,887,0,1,2.1842886574074075E-05,0.0005242292777777777,1887.2254,0.031453756666666666,1.8872254
560303070,0,0,30,0,56,0.0006484989236111112,0.015563974166666666,56030.307,0.93383845,56.030307
22315451,0,0,231,0,2,2.5828068287037036E-05,0.0006198736388888889,2231.5451,0.03719241833333333,2.2315451
1615412210,0,0,541,2,41,0.0018696900578703704,0.04487256138888889,161541.221,2.6923536833333332,161.541221
26187443,0,0,618,0,2,3.030954050925926E-05,0.0007274289722222222,2618.7443,0.043645738333333337,2.6187443
678346380,0,0,834,1,7,0.000785123125,0.018842955,67834.638,1.1305773,67.834638
51789482,0,0,178,0,5,5.994153009259259E-05,0.0014385967222222222,5178.9482,0.08631580333333333,5.1789482
3042341456,0,0,234,5,4,0.003521228537037037,0.08450948488888889,304234.1456,5.070569093333333,304.2341456
14670486,0,0,467,0,1,1.6979729166666667E-05,0.0004075135,1467.0486,0.02445081,1.4670486
1529855344,0,0,985,2,32,0.0017706659074074075,0.042495981777777775,152985.5344,2.549758906666667,152.9855344
